102;0;292;2023-05-01;;AUTOMATICALY_PLANNED;;NULL;NULL;4;NULL;NULL;0;0;0;2020-10-11 18:00:35;2020-10-11 18:00:35
103;0;293;2021-05-12;;DONE;"Pression pneus
Nettoyage vélo
Réglage freins
vérification éléments de sécurité
essai vélo";;2021-05-12 00:00:00;1;2021-05-26 15:30:03;2021-05-12 00:00:00;0;0;0;2021-05-26 15:30:03;2021-05-26 15:30:03
104;0;293;2021-08-17;;DONE;"Check complet
pression pneus
réglage freins";;2021-08-17 00:00:00;2;2021-10-06 16:48:55;2021-08-17 00:00:00;0;0;0;2021-10-06 16:48:55;2021-10-06 16:48:55
105;0;293;2022-08-01;;AUTOMATICALY_PLANNED;;NULL;NULL;3;NULL;NULL;0;0;0;2020-10-11 18:00:44;2020-10-11 18:00:44
106;0;293;2023-05-01;;AUTOMATICALY_PLANNED;;NULL;NULL;4;NULL;NULL;0;0;0;2020-10-11 18:00:44;2020-10-11 18:00:44
107;0;294;2021-05-12;;DONE;"Pression pneus
Nettoyage vélo
Réglage freins
vérification éléments de sécurité
essai vélo
Chargement GPS";;2021-05-12 00:00:00;1;2021-05-26 15:32:46;2021-05-12 00:00:00;0;0;0;2021-05-26 15:32:46;2021-05-26 15:32:46
108;0;294;2021-08-17;;DONE;"Check complet
pression pneus
réglage freins";;2021-08-17 00:00:00;2;2021-10-06 16:49:10;2021-08-17 00:00:00;0;0;0;2021-10-06 16:49:10;2021-10-06 16:49:10
109;0;294;2022-08-01;;AUTOMATICALY_PLANNED;;NULL;NULL;3;NULL;NULL;0;0;0;2020-10-11 18:00:52;2020-10-11 18:00:52
110;0;294;2023-05-01;;AUTOMATICALY_PLANNED;;NULL;NULL;4;NULL;NULL;0;0;0;2020-10-11 18:00:52;2020-10-11 18:00:52
111;0;95;2021-05-12;;DONE;"Pression pneus
Nettoyage vélo
Réglage freins
vérification éléments de sécurité
essai vélo";;2021-05-12 00:00:00;1;2021-05-26 15:32:58;2021-05-12 00:00:00;0;0;0;2021-05-26 15:32:58;2021-05-26 15:32:58
112;0;95;2021-08-17;;DONE;"Check complet
pression pneus
réglage freins";;2021-08-17 00:00:00;2;2021-10-06 16:49:27;2021-08-17 00:00:00;0;0;0;2021-10-06 16:49:27;2021-10-06 16:49:27
113;0;95;2022-08-01;;AUTOMATICALY_PLANNED;;NULL;NULL;3;NULL;NULL;0;0;0;2020-10-11 18:01:00;2020-10-11 18:01:00
114;0;95;2023-05-01;;AUTOMATICALY_PLANNED;;NULL;NULL;4;NULL;NULL;0;0;0;2020-10-11 18:01:00;2020-10-11 18:01:00
115;0;96;2021-05-12;;DONE;"Pression pneus
Nettoyage vélo
Réglage freins
vérification éléments de sécurité
essai vélo

COURROIE déraille";;2021-06-02 00:00:00;1;2021-06-02 15:51:35;2021-06-02 00:00:00;0;0;0;2021-06-02 15:51:35;2021-06-02 15:51:35
116;0;96;2021-08-17;8 Rue de la Brasserie, 4000 Liège;DONE;Vélo repris à l'atelier, problème boitier de pédalier;Vélo envoyé pour réparation chez Bzen;2021-08-17 00:00:00;2;2021-10-06 16:54:39;2021-08-17 00:00:00;0;0;0;2021-10-06 16:54:39;2021-10-06 16:54:39
117;0;96;2022-08-01;;AUTOMATICALY_PLANNED;;NULL;NULL;3;NULL;NULL;0;0;0;2020-10-11 18:01:09;2020-10-11 18:01:09
118;0;96;2023-05-01;;AUTOMATICALY_PLANNED;;NULL;NULL;4;NULL;NULL;0;0;0;2020-10-11 18:01:09;2020-10-11 18:01:09
119;0;122;2020-10-13;;DONE;;NULL;NULL;1;NULL;NULL;0;0;0;2020-10-19 10:14:19;2020-10-19 10:14:19
